,cluster,AGE,등록(계/피),고용상태,성별,Willingness to pay/Stay,갱신,상품타입,교육수준,소득,지역,결혼여부,월 납입액,VOC,타 상품 보유 현황,온라인방문빈도,갱신인센티브,판매채널,총지불금액,자동차,거주지사이즈
37,2,2,계약자,무직,1,9.001212,0,기본,대학졸업,0,시골,기혼,130,0,4이상,비방문,할인,대리점,189000,SUV,중
38,4,1,계약자,고용,1,9.388824,0,기본,고졸이하,117773700,시골,미혼,130,0,3,비방문,설계사독려,자사영업,80000,SUV,대
39,0,4,계약자,고용,0,37.932141,0,고급,고졸이하,30443600,도시근교,기혼,170,0,2,종종,없음,인터넷,877000,SUV,중
40,1,3,계약자,고용,1,9.36729,0,기본,대학졸업,39047800,도시근교,미혼,80,0,2,비방문,설계사독려,자사영업,433000,일반세단,중
41,4,4,계약자,고용,0,3.822285,1,중급,석사,77404800,시골,기혼,90,0,1,비방문,할인,자사영업,69000,일반세단,대
42,3,1,계약자,고용,1,3.036294,0,기본,대학졸업,117403000,시골,기혼,70,0,1,비방문,포인트,자사영업,203000,컴팩트카,중
43,2,3,계약자,무직,0,20.511135,0,기본,대학졸업,0,도시근교,미혼,60,0,2,비방문,할인,대리점,542000,일반세단,소
44,1,4,계약자,고용,0,3.111663,0,기본,고졸이하,81703600,도심,기혼,70,0,1,비방문,포인트,대리점,405000,컴팩트카,중
45,6,6,피보험자,고용,1,15.547548,0,기본,대학졸업,77266200,도시근교,미혼,210,0,4이상,자주방문,없음,자사영업,1103000,고급차,중
46,6,5,계약자,고용,0,5.512704,0,중급,대학졸업,75559000,도시근교,기혼,140,0,1,비방문,할인,대리점,753000,스포츠카,중
47,2,2,계약자,무직,1,2.390274,0,기본,대학졸업,0,시골,미혼,60,0,1,비방문,없음,자사영업,138000,일반세단,중
48,3,1,계약자,고용,0,3.079362,0,기본,고졸이하,119078300,도심,기혼,70,0,1,비방문,없음,대리점,224000,컴팩트카,중
49,1,5,계약자,고용,0,6.438666,1,중급,고졸이하,76263000,도시근교,미혼,80,0,3,비방문,설계사독려,대리점,676000,일반세단,중
50,2,2,계약자,무직,1,7.946046,0,기본,대학졸업,0,도시근교,기혼,70,0,2,비방문,없음,자사영업,409000,일반세단,중
51,4,4,계약자,고용,1,6.858579,1,중급,고졸이하,58648700,도시근교,기혼,80,0,3,비방문,설계사독려,콜센터,474000,컴팩트카,대
52,3,1,계약자,고용,1,9.324222,0,기본,대학졸업,90847900,시골,기혼,70,0,2,비방문,할인,자사영업,212000,일반세단,중
53,5,3,계약자,고용,0,12.629691,0,중급,석사,53620600,시골,기혼,110,0,2,비방문,없음,콜센터,106000,일반세단,소
54,1,5,계약자,고용,1,6.223326,1,기본,고졸이하,67502600,도시근교,미혼,80,0,4이상,비방문,설계사독려,콜센터,973000,일반세단,중
55,2,3,계약자,무직,1,10.831602,0,중급,고졸이하,0,도시근교,미혼,100,0,2,비방문,할인,콜센터,791000,컴팩트카,중
56,3,1,피보험자,고용,0,7.612269,0,기본,대학졸업,119696500,도시근교,미혼,60,4,2,자주방문,없음,콜센터,463000,일반세단,소
57,2,2,계약자,무직,0,5.157393,0,기본,대학졸업,0,도시근교,미혼,70,0,4이상,비방문,할인,콜센터,397000,일반세단,소
58,2,4,계약자,휴직,1,3.240867,0,중급,대학졸업,28226000,도시근교,미혼,80,0,1,비방문,포인트,대리점,711000,일반세단,중
59,0,3,계약자,무직,1,3.736149,0,고급,고졸이하,0,도시근교,미혼,110,0,1,비방문,설계사독려,대리점,1205000,일반세단,중
60,1,4,계약자,고용,0,5.792646,1,기본,대학졸업,73165400,도시근교,기혼,70,0,4이상,비방문,할인,대리점,397000,일반세단,중
61,3,1,피보험자,고용,1,41.162241,0,기본,대학졸업,106174200,시골,기혼,110,0,2,자주방문,없음,대리점,206000,SUV,중
62,3,2,계약자,고용,0,5.954151,0,중급,대학졸업,124559600,도시근교,기혼,150,0,1,종종,포인트,대리점,812000,SUV,중
63,1,4,피보험자,고용,1,5.254296,0,기본,대학졸업,70462700,도시근교,미혼,60,0,4이상,자주방문,할인,콜센터,373000,컴팩트카,소
64,6,5,피보험자,고용,1,15.28914,0,기본,대학졸업,73486600,도심,기혼,210,1,4이상,자주방문,없음,인터넷,837000,고급차,중
65,6,3,계약자,무직,0,6.191025,0,고급,대학졸업,0,도시근교,미혼,190,0,1,비방문,할인,대리점,2289000,스포츠카,중
66,2,3,계약자,무직,0,10.33632,0,중급,대학졸업,0,도시근교,미혼,100,0,2,비방문,포인트,자사영업,836000,컴팩트카,중
67,2,2,계약자,무직,1,3.44544,0,중급,대학졸업,0,시골,기혼,90,0,1,비방문,할인,대리점,164000,일반세단,중
68,2,3,계약자,휴직,1,2.971692,0,기본,고졸이하,29289700,도시근교,기혼,80,0,1,비방문,설계사독려,콜센터,439000,일반세단,소
69,3,2,계약자,고용,0,2.939391,0,기본,대학졸업,107871500,도시근교,기혼,70,0,1,비방문,설계사독려,대리점,524000,컴팩트카,중
70,5,4,계약자,고용,1,5.975685,0,기본,석사,82245900,도심,기혼,70,0,4이상,비방문,설계사독려,자사영업,300000,컴팩트카,소
71,2,2,계약자,휴직,1,2.820954,0,기본,대학졸업,20604100,시골,기혼,70,0,1,종종,설계사독려,대리점,168000,컴팩트카,중
72,5,3,피보험자,무직,0,6.750909,1,중급,박사,0,도시근교,기혼,90,1,4이상,자주방문,할인,대리점,594000,일반세단,중
73,0,3,계약자,무직,1,13.254177,0,고급,대학졸업,0,도시근교,미혼,130,0,2,비방문,할인,콜센터,1031000,컴팩트카,중
74,4,4,계약자,고용,1,11.359185,0,중급,고졸이하,37679400,도시근교,기혼,100,0,2,비방문,없음,대리점,522000,일반세단,대
75,2,4,계약자,휴직,1,12.941934,0,기본,고졸이하,34260600,도시근교,기혼,120,0,2,비방문,할인,대리점,1231000,SUV,중
76,6,3,피보험자,무직,1,10.01331,0,고급,고졸이하,0,도시근교,미혼,310,0,1,자주방문,없음,콜센터,3408000,고급차,중
77,1,4,계약자,고용,1,8.010648,0,기본,대학졸업,45124200,도시근교,기혼,70,0,2,비방문,할인,대리점,368000,컴팩트카,중
78,6,4,계약자,고용,1,11.09001,0,중급,대학졸업,28868400,도시근교,미혼,150,0,4이상,비방문,설계사독려,대리점,812000,스포츠카,중
79,2,4,계약자,휴직,1,3.779217,1,중급,대학졸업,27729900,도시근교,기혼,100,1,1,비방문,설계사독려,자사영업,1453000,일반세단,소
80,3,1,계약자,고용,0,6.201792,0,기본,대학졸업,110233200,시골,기혼,70,0,3,비방문,설계사독려,인터넷,156000,일반세단,중
81,3,2,계약자,고용,0,11.068476,0,중급,고졸이하,97369800,도심,기혼,150,0,3,비방문,설계사독려,콜센터,499000,SUV,중
82,1,5,계약자,고용,1,5.146626,0,중급,대학졸업,65819600,도시근교,기혼,140,0,1,비방문,설계사독려,대리점,791000,SUV,소
83,2,3,피보험자,무직,1,2.304138,0,기본,대학졸업,0,도시근교,미혼,70,0,1,자주방문,없음,인터넷,848000,컴팩트카,중
84,5,1,계약자,고용,1,9.410358,0,기본,박사,121466400,시골,기혼,120,0,4이상,비방문,포인트,대리점,193000,SUV,소
85,2,3,피보험자,무직,1,4.812849,0,기본,고졸이하,0,도시근교,미혼,70,0,4이상,자주방문,할인,대리점,578000,컴팩트카,중
86,0,3,피보험자,휴직,0,12.188244,1,고급,대학졸업,15710200,도시근교,미혼,110,0,2,자주방문,할인,대리점,599000,일반세단,중
87,1,5,계약자,고용,0,23.568963,0,기본,대학졸업,56840300,도시근교,기혼,120,0,2,비방문,설계사독려,인터넷,836000,SUV,중
88,3,1,계약자,고용,1,8.269056,0,기본,고졸이하,119025500,도심,기혼,60,0,2,비방문,설계사독려,자사영업,251000,일반세단,중
89,2,3,계약자,무직,1,17.98089,0,기본,대학졸업,0,도시근교,미혼,80,0,2,종종,할인,대리점,427000,일반세단,중
90,1,5,피보험자,고용,0,5.405034,1,중급,대학졸업,64199300,도시근교,미혼,150,0,1,자주방문,설계사독려,대리점,771000,SUV,중
91,0,4,피보험자,휴직,0,6.223326,0,고급,고졸이하,36364900,도시근교,기혼,180,3,1,자주방문,할인,콜센터,1076000,SUV,소
92,5,4,계약자,고용,0,2.993226,0,기본,석사,78153900,시골,기혼,70,2,1,비방문,없음,콜센터,214000,일반세단,소
93,6,3,계약자,무직,0,4.446771,0,기본,대학졸업,0,도시근교,미혼,130,3,1,비방문,할인,인터넷,1058000,스포츠카,중
94,0,5,피보험자,고용,0,7.181589,0,고급,고졸이하,74726300,도시근교,기혼,200,3,1,자주방문,설계사독려,인터넷,1008000,SUV,중
95,2,3,계약자,무직,0,15.870558,0,중급,대학졸업,0,도시근교,기혼,150,1,2,비방문,포인트,콜센터,824000,SUV,중
96,6,5,계약자,고용,1,41.259144,0,기본,대학졸업,59849900,도시근교,기혼,220,0,2,종종,설계사독려,대리점,1132000,고급차,중
97,2,3,계약자,무직,0,2.218002,0,기본,대학졸업,0,도시근교,미혼,70,3,1,비방문,할인,콜센터,456000,일반세단,중
98,2,3,계약자,무직,0,5.92185,1,기본,대학졸업,0,도시근교,기혼,70,0,4이상,비방문,할인,콜센터,433000,일반세단,중
99,5,3,피보험자,휴직,0,5.49117,1,기본,석사,30252200,도시근교,미혼,70,0,3,자주방문,할인,대리점,385000,일반세단,소
100,4,4,계약자,고용,0,8.6136,0,기본,고졸이하,88148500,시골,기혼,60,2,2,비방문,설계사독려,콜센터,48000,컴팩트카,대
101,1,4,계약자,고용,0,6.104889,0,기본,대학졸업,86946200,시골,미혼,80,0,4이상,비방문,설계사독려,대리점,212000,일반세단,중
102,5,4,계약자,고용,1,3.111663,0,기본,박사,70021600,도시근교,미혼,70,0,1,종종,설계사독려,콜센터,439000,일반세단,중
103,5,4,계약자,고용,1,6.234093,0,기본,석사,70031500,도시근교,미혼,70,0,4이상,비방문,할인,대리점,427000,컴팩트카,소
104,1,4,계약자,고용,0,11.531457,0,기본,대학졸업,73278700,도시근교,미혼,70,0,2,비방문,포인트,대리점,397000,일반세단,소
105,1,3,계약자,고용,0,5.728044,0,중급,대학졸업,42453400,시골,기혼,150,0,1,비방문,없음,콜센터,343000,SUV,중
106,5,3,계약자,고용,1,22.07235,0,기본,석사,74116900,시골,미혼,80,0,2,비방문,할인,자사영업,109000,컴팩트카,중
107,2,3,계약자,무직,1,4.985121,0,기본,고졸이하,0,도시근교,미혼,60,0,3,비방문,포인트,인터넷,853000,일반세단,중
108,2,3,계약자,무직,0,29.383143,0,기본,대학졸업,0,도시근교,미혼,130,1,2,비방문,할인,대리점,1031000,SUV,소
109,4,1,계약자,고용,0,4.339101,0,기본,대학졸업,123754400,시골,기혼,110,0,1,비방문,포인트,자사영업,74000,SUV,대
110,3,2,계약자,고용,1,2.950158,0,기본,대학졸업,104681500,도시근교,미혼,80,0,1,비방문,설계사독려,콜센터,415000,컴팩트카,소
111,3,2,계약자,고용,1,38.158248,0,중급,대학졸업,128026800,도시근교,미혼,100,0,2,비방문,할인,콜센터,698000,컴팩트카,중
112,5,3,피보험자,무직,0,3.079362,0,중급,석사,0,도심,기혼,80,4,1,자주방문,없음,자사영업,439000,일반세단,중
113,3,1,피보험자,고용,0,6.309462,0,기본,대학졸업,99300300,시골,기혼,70,0,4이상,자주방문,포인트,콜센터,211000,컴팩트카,소
114,0,3,계약자,무직,0,4.339101,0,고급,대학졸업,0,도시근교,미혼,130,0,1,비방문,설계사독려,인터넷,1040000,일반세단,중
115,3,2,계약자,고용,0,8.129085,0,기본,대학졸업,92477000,도시근교,미혼,60,0,2,비방문,할인,자사영업,496000,컴팩트카,중
116,0,2,계약자,고용,0,17.98089,0,고급,대학졸업,107599800,도시근교,기혼,110,0,2,종종,설계사독려,인터넷,617000,일반세단,소
117,2,3,피보험자,무직,1,3.477741,0,중급,고졸이하,0,도시근교,미혼,110,1,1,자주방문,할인,대리점,871000,컴팩트카,중
118,1,5,피보험자,고용,1,6.072588,0,기본,대학졸업,89256200,도심,미혼,80,0,4이상,자주방문,설계사독려,인터넷,426000,컴팩트카,중
119,0,4,계약자,고용,0,9.345756,0,고급,고졸이하,82439500,시골,기혼,120,0,4이상,비방문,할인,콜센터,63000,일반세단,중
120,6,4,계약자,고용,1,11.133078,0,중급,대학졸업,88742500,시골,기혼,150,1,4이상,비방문,할인,콜센터,343000,스포츠카,중
121,4,3,계약자,고용,0,4.037625,1,중급,대학졸업,54829500,시골,기혼,100,1,1,비방문,설계사독려,콜센터,24000,컴팩트카,대
122,1,3,계약자,고용,0,2.767119,0,기본,대학졸업,39255700,도시근교,기혼,70,4,1,비방문,없음,대리점,391000,일반세단,중
123,1,4,계약자,고용,0,4.769781,1,기본,고졸이하,77431200,도심,기혼,120,0,1,비방문,할인,대리점,375000,SUV,중
124,6,3,계약자,무직,0,7.978347,0,기본,고졸이하,0,도시근교,미혼,110,0,4이상,비방문,할인,인터넷,628000,스포츠카,중
125,1,4,계약자,고용,1,5.135859,0,기본,대학졸업,67606000,도심,기혼,60,1,4이상,비방문,할인,대리점,276000,컴팩트카,중
126,1,4,계약자,고용,0,6.503268,0,중급,고졸이하,39110500,도시근교,기혼,80,0,3,비방문,설계사독려,자사영업,521000,일반세단,중
127,6,3,계약자,무직,1,17.528676,0,고급,고졸이하,0,도시근교,미혼,180,0,2,비방문,포인트,자사영업,931000,스포츠카,중
128,5,2,피보험자,고용,1,9.711834,0,기본,석사,94512000,도시근교,기혼,120,0,4이상,자주방문,포인트,대리점,664000,스포츠카,소
129,0,3,피보험자,무직,0,8.07525,0,고급,대학졸업,0,도시근교,미혼,120,0,4이상,자주방문,할인,자사영업,943000,일반세단,중
130,2,3,계약자,무직,1,13.480284,0,중급,대학졸업,0,도시근교,미혼,140,0,2,비방문,포인트,자사영업,1120000,SUV,중
131,3,1,피보험자,고용,1,2.745585,0,기본,고졸이하,100118700,시골,기혼,70,0,1,자주방문,포인트,대리점,159000,컴팩트카,중
132,5,4,피보험자,고용,1,18.185463,0,기본,석사,70405500,도심,기혼,60,4,2,자주방문,설계사독려,자사영업,276000,일반세단,중
133,4,1,피보험자,고용,0,3.273168,0,중급,대학졸업,99378400,시골,미혼,80,3,1,자주방문,포인트,대리점,191000,일반세단,대
134,1,3,피보험자,고용,1,4.802082,0,기본,고졸이하,41236800,도시근교,미혼,60,4,4이상,자주방문,할인,인터넷,423000,컴팩트카,소
135,6,3,계약자,무직,1,12.888099,0,기본,대학졸업,0,도시근교,미혼,210,2,4이상,비방문,할인,인터넷,1781000,고급차,대
136,1,4,계약자,고용,0,9.162717,0,기본,대학졸업,45611500,도심,기혼,110,0,4이상,비방문,할인,자사영업,444000,SUV,소
137,4,2,계약자,무직,0,9.787203,0,중급,대학졸업,0,시골,기혼,80,2,2,비방문,포인트,대리점,181000,일반세단,대
138,2,3,계약자,무직,0,25.94847,0,중급,대학졸업,0,도시근교,미혼,100,0,2,비방문,없음,인터넷,1426000,일반세단,중
139,1,5,계약자,고용,1,9.79797,1,기본,대학졸업,50147900,도시근교,기혼,130,0,4이상,비방문,설계사독려,콜센터,688000,SUV,중
140,1,4,계약자,고용,0,23.062914,0,중급,대학졸업,28945400,도시근교,미혼,160,0,2,비방문,설계사독려,인터넷,824000,SUV,중
141,1,4,피보험자,고용,1,11.531457,0,중급,고졸이하,74016800,도시근교,기혼,100,2,2,자주방문,포인트,대리점,545000,일반세단,중
142,6,4,피보험자,휴직,1,10.756233,0,중급,고졸이하,31813100,도시근교,미혼,150,0,4이상,자주방문,설계사독려,자사영업,782000,스포츠카,중
143,1,4,피보험자,고용,0,8.516697,0,중급,대학졸업,57673000,도시근교,미혼,100,0,3,자주방문,포인트,자사영업,587000,일반세단,중
144,4,4,계약자,휴직,1,5.243529,0,중급,대학졸업,31475400,도시근교,미혼,150,0,1,비방문,할인,인터넷,771000,SUV,대
145,2,3,계약자,무직,1,2.282604,0,기본,대학졸업,0,도시근교,미혼,60,0,1,비방문,없음,콜센터,551000,컴팩트카,소
146,2,3,계약자,무직,1,6.815511,0,기본,대학졸업,0,도시근교,미혼,110,2,4이상,비방문,할인,자사영업,801000,SUV,소
147,2,3,계약자,무직,0,4.672878,0,중급,대학졸업,0,도시근교,미혼,140,0,1,비방문,포인트,콜센터,735000,SUV,중
148,1,5,계약자,고용,1,6.761676,0,중급,대학졸업,66836000,도시근교,기혼,80,0,4이상,비방문,설계사독려,콜센터,673000,일반세단,중
149,5,3,피보험자,FALSE,0,12.898866,1,기본,석사,28438300,도심,기혼,60,0,2,자주방문,할인,대리점,318000,컴팩트카,중
150,6,3,피보험자,고용,1,23.945808,0,기본,대학졸업,106219300,도시근교,기혼,220,1,2,자주방문,할인,인터넷,1109000,고급차,중
151,4,5,계약자,고용,0,9.313455,1,기본,고졸이하,84764900,도심,기혼,120,0,3,비방문,설계사독려,자사영업,457000,SUV,대
152,3,1,계약자,고용,1,2.627148,0,기본,대학졸업,110772200,도심,미혼,60,0,1,비방문,설계사독려,자사영업,242000,일반세단,중
153,1,3,계약자,고용,0,5.458869,0,기본,대학졸업,31513900,도시근교,기혼,60,0,4이상,비방문,없음,콜센터,379000,일반세단,소
154,1,3,피보험자,고용,0,6.083355,0,기본,대학졸업,72483400,도심,미혼,70,0,4이상,자주방문,포인트,인터넷,230000,일반세단,중
155,3,1,피보험자,고용,1,14.373945,0,기본,대학졸업,106115900,시골,기혼,120,1,2,자주방문,할인,대리점,46000,SUV,중
156,3,1,계약자,고용,1,14.32011,0,기본,대학졸업,116892600,도시근교,기혼,70,1,2,비방문,할인,대리점,391000,일반세단,중
157,1,3,계약자,고용,0,7.569201,0,중급,고졸이하,34706100,시골,기혼,100,0,3,비방문,할인,자사영업,65000,일반세단,중
158,2,3,계약자,무직,1,3.897654,0,중급,고졸이하,0,도시근교,기혼,100,0,1,비방문,할인,대리점,845000,일반세단,중
159,0,1,계약자,고용,1,15.203004,0,고급,대학졸업,126523100,시골,기혼,130,2,2,비방문,할인,대리점,184000,일반세단,중
160,2,3,계약자,무직,0,2.325672,0,기본,고졸이하,0,도시근교,미혼,70,3,1,비방문,할인,자사영업,415000,일반세단,중
161,5,4,피보험자,고용,1,2.960925,0,기본,석사,42878000,도시근교,기혼,70,0,1,자주방문,설계사독려,자사영업,585000,컴팩트카,중
162,1,3,계약자,고용,1,5.480403,0,기본,대학졸업,30041000,도시근교,기혼,70,0,3,비방문,설계사독려,자사영업,385000,일반세단,중
163,1,4,계약자,고용,1,15.106101,0,기본,대학졸업,76789900,도심,기혼,80,1,2,비방문,설계사독려,자사영업,250000,컴팩트카,중
164,3,2,계약자,고용,1,9.324222,0,기본,대학졸업,110198000,도시근교,기혼,120,1,4이상,비방문,설계사독려,자사영업,646000,SUV,중
165,4,3,계약자,휴직,1,5.232762,0,기본,대학졸업,16064400,도시근교,미혼,70,1,4이상,비방문,할인,자사영업,541000,일반세단,대
166,3,1,피보험자,고용,0,20.640339,0,기본,대학졸업,97854900,시골,기혼,130,0,2,자주방문,없음,콜센터,66000,SUV,중
167,1,4,피보험자,고용,1,7.633803,0,중급,고졸이하,69671800,도시근교,기혼,100,1,4이상,자주방문,포인트,자사영업,534000,일반세단,중
168,1,4,계약자,고용,1,7.32156,0,중급,고졸이하,62724200,도시근교,기혼,90,1,4이상,비방문,설계사독려,대리점,516000,일반세단,중
169,2,3,계약자,휴직,0,2.541012,1,기본,대학졸업,26258100,도시근교,미혼,60,0,1,비방문,할인,인터넷,435000,일반세단,중
170,2,4,계약자,휴직,0,16.268937,1,기본,고졸이하,37690400,도시근교,기혼,110,1,2,비방문,설계사독려,콜센터,593000,SUV,중
171,1,3,계약자,고용,1,3.154731,0,기본,고졸이하,34688500,도심,기혼,80,0,1,비방문,설계사독려,자사영업,429000,일반세단,중
172,1,4,계약자,고용,0,14.007867,0,기본,대학졸업,72791400,도심,미혼,120,1,2,비방문,할인,대리점,436000,SUV,중
173,6,5,계약자,고용,1,8.50593,0,기본,대학졸업,82340500,도시근교,기혼,110,0,3,비방문,설계사독려,인터넷,593000,스포츠카,중
174,0,4,계약자,고용,0,14.438547,0,고급,대학졸업,33110000,도시근교,기혼,190,0,4이상,비방문,할인,대리점,990000,SUV,중
175,2,3,계약자,휴직,0,6.578637,0,중급,대학졸업,22014300,도시근교,기혼,80,0,4이상,비방문,할인,자사영업,468000,일반세단,중
176,2,4,계약자,휴직,1,13.264944,0,기본,고졸이하,35541000,도시근교,미혼,120,0,2,종종,할인,인터넷,670000,SUV,소
177,1,3,계약자,고용,0,20.823378,0,기본,대학졸업,30118000,도심,기혼,70,0,2,비방문,설계사독려,대리점,278000,일반세단,중
178,1,4,계약자,고용,1,5.846481,0,기본,고졸이하,65227800,도심,기혼,70,0,4이상,비방문,설계사독려,대리점,310000,컴팩트카,중
179,2,3,계약자,무직,1,7.892211,0,기본,대학졸업,0,도시근교,미혼,70,0,2,비방문,할인,대리점,769000,일반세단,중
180,1,3,계약자,고용,1,3.746916,0,중급,대학졸업,45349700,시골,미혼,100,2,1,비방문,할인,콜센터,230000,일반세단,중
181,2,3,피보험자,무직,0,7.493832,0,중급,대학졸업,0,도시근교,기혼,100,1,4이상,자주방문,할인,인터넷,778000,일반세단,중
182,5,4,계약자,고용,1,27.186675,0,기본,석사,58289000,도시근교,미혼,70,1,2,비방문,할인,자사영업,427000,일반세단,소
183,1,4,계약자,고용,1,2.713284,0,기본,대학졸업,57109800,도심,기혼,70,3,1,비방문,없음,자사영업,304000,일반세단,중
184,2,3,계약자,무직,0,18.680745,0,중급,대학졸업,0,도시근교,기혼,100,0,2,비방문,할인,콜센터,545000,일반세단,중
185,6,3,계약자,무직,1,4.371402,0,기본,대학졸업,0,도시근교,미혼,130,0,1,비방문,포인트,인터넷,1040000,스포츠카,중
186,3,1,계약자,고용,0,5.103558,0,기본,대학졸업,103893900,시골,기혼,130,0,1,비방문,할인,자사영업,165000,SUV,중
187,6,4,계약자,고용,1,4.694412,0,기본,대학졸업,51453600,시골,미혼,120,0,1,비방문,포인트,대리점,298000,스포츠카,중
188,6,3,계약자,무직,1,9.744135,1,기본,고졸이하,0,도시근교,기혼,130,0,3,비방문,설계사독려,인터넷,705000,스포츠카,중
